,Matrix,Size,Density,Tolerance,Method,Relative error,Time,Iterations
0,spa1.mtx,1000000,0.182264,0.0001,Jacobi,0.0017712811483049115,0.6278510093688965,115
1,spa1.mtx,1000000,0.182264,0.0001,Gauss-Seidel,0.018205942995187015,1.226374864578247,9
2,spa1.mtx,1000000,0.182264,0.0001,Gradient,0.034574700773010815,0.0670633316040039,143
3,spa1.mtx,1000000,0.182264,0.0001,Conjugate Gradient,0.020789760009957598,0.04208493232727051,49
4,spa1.mtx,1000000,0.182264,1e-06,Jacobi,1.797929543333586e-05,0.8952412605285645,181
5,spa1.mtx,1000000,0.182264,1e-06,Gauss-Seidel,0.00012996939585706549,2.2760255336761475,17
6,spa1.mtx,1000000,0.182264,1e-06,Gradient,0.0009680457310584934,1.2214438915252686,3577
7,spa1.mtx,1000000,0.182264,1e-06,Conjugate Gradient,2.5529092778431404e-05,0.09550094604492188,134
8,spa1.mtx,1000000,0.182264,1e-08,Jacobi,1.82497887635207e-07,1.1802647113800049,247
9,spa1.mtx,1000000,0.182264,1e-08,Gauss-Seidel,1.7097328987836514e-06,3.2227582931518555,24
10,spa1.mtx,1000000,0.182264,1e-08,Gradient,9.81636374476254e-06,3.3928070068359375,8233
11,spa1.mtx,1000000,0.182264,1e-08,Conjugate Gradient,1.319840727794353e-07,0.12187933921813965,177
12,spa1.mtx,1000000,0.182264,1e-10,Jacobi,1.8524371371887445e-09,1.5405621528625488,313
13,spa1.mtx,1000000,0.182264,1e-10,Gauss-Seidel,2.2480878399153767e-08,4.181887626647949,31
14,spa1.mtx,1000000,0.182264,1e-10,Gradient,9.820388418677605e-08,4.700450658798218,12919
15,spa1.mtx,1000000,0.182264,1e-10,Conjugate Gradient,1.207716797068718e-09,0.14114665985107422,200
16,spa2.mtx,9000000,0.18130422222222223,0.0001,Jacobi,0.0017662465191133577,1.0455000400543213,36
17,spa2.mtx,9000000,0.18130422222222223,0.0001,Gauss-Seidel,0.0025988955874540784,10.010909795761108,5
18,spa2.mtx,9000000,0.18130422222222223,0.0001,Gradient,0.01812964511711257,0.695974588394165,161
19,spa2.mtx,9000000,0.18130422222222223,0.0001,Conjugate Gradient,0.009821128457265032,0.30879759788513184,42
20,spa2.mtx,9000000,0.18130422222222223,1e-06,Jacobi,1.666756136718762e-05,1.5682523250579834,57
21,spa2.mtx,9000000,0.18130422222222223,1e-06,Gauss-Seidel,5.1416412595227566e-05,16.088426113128662,8
22,spa2.mtx,9000000,0.18130422222222223,1e-06,Gradient,0.0006694229253797693,9.213726282119751,1949
23,spa2.mtx,9000000,0.18130422222222223,1e-06,Conjugate Gradient,0.00011979846178604916,1.080810308456421,122
24,spa2.mtx,9000000,0.18130422222222223,1e-08,Jacobi,1.572869895211941e-07,2.1627614498138428,78
25,spa2.mtx,9000000,0.18130422222222223,1e-08,Gauss-Seidel,2.794322031352431e-07,21.761640310287476,12
26,spa2.mtx,9000000,0.18130422222222223,1e-08,Gradient,6.865240127831838e-06,20.531413078308105,5087
27,spa2.mtx,9000000,0.18130422222222223,1e-08,Conjugate Gradient,5.586660595210111e-07,1.339120626449585,196
28,spa2.mtx,9000000,0.18130422222222223,1e-10,Jacobi,1.484271703014438e-09,2.686108112335205,99
29,spa2.mtx,9000000,0.18130422222222223,1e-10,Gauss-Seidel,5.5707409165879334e-09,27.372891664505005,15
30,spa2.mtx,9000000,0.18130422222222223,1e-10,Gradient,6.937814826519221e-08,35.23788595199585,8285
31,spa2.mtx,9000000,0.18130422222222223,1e-10,Conjugate Gradient,5.3242305205799435e-09,1.6729815006256104,240
32,vem1.mtx,2825761,0.004736777101814343,0.0001,Jacobi,0.0035403807574038567,5.877995491027832,1314
33,vem1.mtx,2825761,0.004736777101814343,0.0001,Gauss-Seidel,0.0035069725970329874,74.78705024719238,659
34,vem1.mtx,2825761,0.004736777101814343,0.0001,Gradient,0.002704572409364102,0.06126260757446289,890
35,vem1.mtx,2825761,0.004736777101814343,0.0001,Conjugate Gradient,4.082793158692197e-05,0.003144979476928711,38
36,vem1.mtx,2825761,0.004736777101814343,1e-06,Jacobi,3.5400733429561766e-05,15.503139019012451,2433
37,vem1.mtx,2825761,0.004736777101814343,1e-06,Gauss-Seidel,3.5266968493658966e-05,134.06431436538696,1218
38,vem1.mtx,2825761,0.004736777101814343,1e-06,Gradient,2.7133391834267262e-05,0.08555054664611816,1612
39,vem1.mtx,2825761,0.004736777101814343,1e-06,Conjugate Gradient,3.7323397022193006e-07,0.0035958290100097656,45
40,vem1.mtx,2825761,0.004736777101814343,1e-08,Jacobi,3.539765956741338e-07,16.819443702697754,3552
41,vem1.mtx,2825761,0.004736777101814343,1e-08,Gauss-Seidel,3.517456996804461e-07,194.8304009437561,1778
42,vem1.mtx,2825761,0.004736777101814343,1e-08,Gradient,2.69533741911619e-07,0.1471729278564453,2336
43,vem1.mtx,2825761,0.004736777101814343,1e-08,Conjugate Gradient,2.8318734398168693e-09,0.004425764083862305,53
44,vem1.mtx,2825761,0.004736777101814343,1e-10,Jacobi,3.539458745046825e-09,21.65833044052124,4671
45,vem1.mtx,2825761,0.004736777101814343,1e-10,Gauss-Seidel,3.508242322543687e-09,255.6368284225464,2338
46,vem1.mtx,2825761,0.004736777101814343,1e-10,Gradient,2.713166874216703e-09,0.1663837432861328,3058
47,vem1.mtx,2825761,0.004736777101814343,1e-10,Conjugate Gradient,2.191751796245848e-11,0.004800319671630859,59
48,vem2.mtx,6765201,0.0031373790667860424,0.0001,Jacobi,0.004968461406195917,21.18421173095703,1927
49,vem2.mtx,6765201,0.0031373790667860424,0.0001,Gauss-Seidel,0.004951189291546085,166.58563446998596,965
50,vem2.mtx,6765201,0.0031373790667860424,0.0001,Gradient,0.0038119295293938373,0.10074043273925781,1308
51,vem2.mtx,6765201,0.0031373790667860424,0.0001,Conjugate Gradient,5.729017222235908e-05,0.005011796951293945,47
52,vem2.mtx,6765201,0.0031373790667860424,1e-06,Jacobi,4.9670344320611774e-05,41.43201565742493,3676
53,vem2.mtx,6765201,0.0031373790667860424,1e-06,Gauss-Seidel,4.9417612682487994e-05,320.5973687171936,1840
54,vem2.mtx,6765201,0.0031373790667860424,1e-06,Gradient,3.791418978880894e-05,0.18169164657592773,2438
55,vem2.mtx,6765201,0.0031373790667860424,1e-06,Conjugate Gradient,4.7429962833565076e-07,0.006872653961181641,56
56,vem2.mtx,6765201,0.0031373790667860424,1e-08,Jacobi,4.965607902481058e-07,60.71735453605652,5425
57,vem2.mtx,6765201,0.0031373790667860424,1e-08,Gauss-Seidel,4.958369689706862e-07,467.1627311706543,2714
58,vem2.mtx,6765201,0.0031373790667860424,1e-08,Gradient,3.809850623663889e-07,0.24314260482788086,3566
59,vem2.mtx,6765201,0.0031373790667860424,1e-08,Conjugate Gradient,4.299983499500873e-09,0.007088899612426758,66
60,vem2.mtx,6765201,0.0031373790667860424,1e-10,Jacobi,4.964185220415289e-09,80.66046857833862,7174
61,vem2.mtx,6765201,0.0031373790667860424,1e-10,Gauss-Seidel,4.948912856957899e-09,633.3591623306274,3589
62,vem2.mtx,6765201,0.0031373790667860424,1e-10,Gradient,3.798767935221748e-09,0.3211958408355713,4696
63,vem2.mtx,6765201,0.0031373790667860424,1e-10,Conjugate Gradient,2.2476276371368195e-11,0.008963584899902344,74
